date,SPY,AVGO,TSLA,NVDA,TSM,STRD,ETHA,APP,PANW,VRT,ANET,NOW,CRWD,BABA,NET,GEV,AMD,FCX,MRVL,FICO,LLY,SNDK,META,CCJ,ONTO,ORCL,MU,AMZN,IBIT,GOOGL,FORM,ADI,HACK,ETN,LRCX,SHOP,AMAT,AXON,BE,TER,PSTKX,XIACY,COHR,MPWR,COIN,TDG,HOOD,ALAB,CRDO,CRWV,MSTR,QCOM,PDD,CRM,NXT,XPEV,RDDT,TCEHY,MARA,DVN,STRK,OIH,TXN,SNPS,VNET,CRSP,KEYS,AFRM,ETHE,NTRA,NVTS,AEHR,CLS,GDS,SNOW,XBI,BILL,SATS,KWEB,WDC,TAN,CDNS,STM,IFNNY,DRS,FNMA,CRS,AAPL,CAMT,HUBS
20201218,369.18,43.456,231.66643,13.272,104.28,#N/A,#N/A,#N/A,59.254936,19.19,17.9825,113.086,203.75,260,83.81,#N/A,95.92,24.63,47.51,521.98,171.4,#N/A,276.4,13.35,47.34,65.06,71.46,160.0825,#N/A,86.311,42.99,144.56,56.91,116.08,48.097,117.096,86.09,125.34,26.31,120.59,11.6,18.576,74.57,348.23,#N/A,608.33,#N/A,#N/A,#N/A,#N/A,30.12,147.42,149.37,227.43,#N/A,46.38,#N/A,74.818,9.31,15.63,#N/A,159.02,164.07,255,32,148.61,128.26,#N/A,20.15,101.67,#N/A,2.2,8.02,95.03,334.25,147.55,148.08,20.39,77.69,53.19,96,132.02,36.51,37.78,9.24,2.59,27.81,126.655,19.92,404.55
20201221,367.86,42.888,216.61977,13.33225,104.83,#N/A,#N/A,#N/A,59.3366,19.01,17.95375,110.164,210.65,260.43,86.21,#N/A,93.23,24.86,47.25,516.23,168.78,#N/A,272.79,13.24,47.49,64.48,71.47,160.309,#N/A,86.728004,42.48,142.59,57.2,116.98,48.323,119.726006,86.41,127.87,27.55,119.73,11.54,18.897,74.6,346.57,#N/A,600.71,#N/A,#N/A,#N/A,#N/A,31.76,146.8,146.87,226.47,#N/A,46.97,#N/A,73.781,11.5,15.3,#N/A,153.36,162.43,254.24,32.09,166.84,126.97,#N/A,21.74,105.61,#N/A,2.17,7.86,93.4,349.85,149.85,148.04,19.94,76.97,52.21,99.58,131.73,35.9,36.21,8.97,2.49,27.41,128.23,20.06,410.21
20201222,367.24,43.31,213.44647,13.278251,103.94,#N/A,#N/A,#N/A,62.009933,18.96,18.17625,112.343994,224.9,255.83,86.56,#N/A,93.16,24.25,47.15,515.62,166.72,#N/A,267.09,13.15,46.87,65.15,70.44,160.326,#N/A,86.011,42.35,144.28,58.86,116.61,47.695004,127.708,85.64,128.5,30.32,118.57,11.52,19.123,78.11,354.06,#N/A,596.23,#N/A,#N/A,#N/A,#N/A,33.15,146.34,139.02,231.17,#N/A,45.05,#N/A,73.847,13.97,14.83,#N/A,151.62,162.52,258.05,33.19,170.08,128.69,#N/A,23.4,111.32,#N/A,2.29,7.69,93.5,341.16,151.13,153.8,20.69,75.57,49.72,103.13,134.37,36.81,37.522,9.55,2.42,27.45,131.88,20.31,418.22
20201223,367.57,42.546,215.32643,13.00925,103.76,#N/A,#N/A,#N/A,60.803272,19,17.905624,110.012,223.5,256.18,81.9,#N/A,91.55,24.86,46.41,514.07,165.48,#N/A,268.11,13.56,46.83,65.3,69.95,159.2635,#N/A,86.4115,41.86,143.22,58.55,117.02,47.113003,119.796,84.03,131.83,30.59,117.26,11.53,20.573,76.9,353.89,#N/A,611.9,#N/A,#N/A,#N/A,#N/A,33.718,146.96,140.25,227.43,#N/A,43.8,#N/A,73.65,10.81,15.66,#N/A,156.59,160.98,254.7,32.61,173.23,130.42,#N/A,19.655,110.04,#N/A,2.48,7.77,92.44,331.65,151.14,149.49,21.39,76.73,49.93,104,133.06,36.62,38.119,10.46,2.4,28.51,130.96,20.89,410.92
20201224,369,43.146,220.58978,12.993751,105.97,#N/A,#N/A,#N/A,61.189938,18.93,18.0525,110.77801,221.12,222,84.98,#N/A,91.81,24.79,47.05,518.45,166.66,#N/A,267.4,13.53,48.02,64.96,70.58,158.6345,#N/A,86.708,42.58,144.47,58.37,118.07,48.034,122.552,85.33,130.75,30.52,118.88,11.57,20.929,77.83,357.07,#N/A,606.71,#N/A,#N/A,#N/A,#N/A,32.260998,148.79,152.75,225.78,#N/A,41.87,#N/A,71.719,10.92,15.33,#N/A,154.11,161.64,256.28,32.36,168.5,130.95,#N/A,16.2,111.74,#N/A,2.47,7.71,91.3,323.04,150.01,148.39,21.4,74.12,49.92,102.8,134,36.91,38.11,10.27,2.3,28.63,131.97,21.09,414.76
20201228,372.17,43.188,221.2298,12.900001,106.15,#N/A,#N/A,#N/A,60.246605,18.65,18.18375,108.748,212.55,222.36,77.5,#N/A,91.6,24.63,46.98,508.42,166.5,#N/A,277,13.65,48.15,64.87,70.66,164.198,#N/A,88.698,43.17,144.68,57.92,117.72,47.61,114.70601,84.87,125.16,28.19,117.73,11.65,20.088,78.19,360.46,#N/A,609.86,#N/A,#N/A,#N/A,#N/A,37,147.74,143.8,224.64,#N/A,38.01,#N/A,66.938,12.25,15.35,#N/A,152.85,161.47,256.16,32.28,168.93,131.82,#N/A,16.9,106.26,#N/A,2.46,7.73,89.8,302.81,146.46,141,22.03,72.21,50.06,102.64,134.76,36.8,38.848,10.2,2.27,28.63,136.69,21.55,397.5
20201229,371.46,42.904003,221.99643,12.94325,105.56,#N/A,#N/A,#N/A,59.366608,18.5,17.96875,109.196,205.93,236.26,76.4,#N/A,90.62,24.74,46.23,507.51,166.58,#N/A,276.78,13.5,46.73,64.46,70.21,166.1,#N/A,87.888,42.06,143.66,57.22,117.16,47.322002,117.161,84.27,123.33,27.82,117.2,11.62,21.15,74.43,352.19,#N/A,607.83,#N/A,#N/A,#N/A,#N/A,36.607002,148.49,166.19,222.46,#N/A,41.55,#N/A,68.416,11.76,15.31,#N/A,151.6,161.18,253.82,33.24,157.83,130.01,#N/A,15.96,99.39,#N/A,2.39,7.67,91.12,304.05,142.17,138.65,21.29,74.9,48.29,99.27,133.98,36.78,38.481,9.76,2.35,27.77,134.87,20.54,393.47
20201230,371.99,43.482998,231.59311,13.145751,108.9,#N/A,#N/A,#N/A,59.29827,18.59,18.06,109.476006,210.29,238.39,77.53,#N/A,92.29,26.53,47.5,503.95,167.01,#N/A,271.87,13.39,48.18,64.4,71.92,164.29251,#N/A,86.8125,42.88,146.18,57.48,119.3,48.445004,116.3,86.98,123.88,28.41,120.29,11.64,21.252,76.325,360.73,#N/A,616.14,#N/A,#N/A,#N/A,#N/A,38.997005,149.95,179.11,222.4,#N/A,42.29,#N/A,72.172,10.88,16.14,#N/A,154.69,162.7,256.91,34.86,161.57,131.24,#N/A,17.06,98.85,#N/A,2.34,8.03,94.04,300.92,144.08,137.25,20.89,77.58,49.53,102.35,135.25,37.56,38.611,9.84,2.36,28.52,133.72,21.71,395.21
20201231,373.88,43.785,235.22308,13.055,109.04,#N/A,#N/A,#N/A,59.231606,18.67,18.160625,110.086,211.82,232.73,75.99,#N/A,91.71,26.02,47.54,511.04,168.84,#N/A,273.16,13.4,47.55,64.69,75.18,162.8465,#N/A,87.63201,43.02,147.73,57.56,120.14,47.227,113.195,86.3,122.53,28.66,119.89,11.71,21.409,75.96,366.23,#N/A,618.85,#N/A,#N/A,#N/A,#N/A,38.855,152.34,177.67,222.53,#N/A,42.83,#N/A,72.738,10.44,15.81,#N/A,154,164.13,259.24,34.69,153.11,132.09,#N/A,15.5,99.52,#N/A,2.53,8.07,93.64,281.4,140.78,136.5,21.19,76.79,55.39,102.76,136.43,37.12,38.407,9.75,2.39,29.12,132.69,21.91,396.44
20210104,368.79,42.522,243.25642,13.1135,111.7,#N/A,#N/A,#N/A,58.60994,18.52,17.6975,105.366005,200.49,227.85,74.59,#N/A,92.3,27.14,46.31,505.26,165.5,#N/A,268.94,13.39,47.77,63.75,74.05,159.3315,#N/A,86.30651,42.7,146.02,56.57,118.75,47.802,109.240005,86.87,116.85,27.29,119.19,11.54,22.731,76.01,364.82,#N/A,587.67,#N/A,#N/A,#N/A,#N/A,42.522,148.5,166.78,220.31,#N/A,44.1,#N/A,73.836,11.01,16.13,#N/A,156.79,162.22,254.7,33.88,158.01,131.18,#N/A,12,96.31,#N/A,2.42,7.91,93.86,278.24,140.95,137.46,20.93,76.61,52.23,104.96,135.76,38.51,39.344,9.38,2.39,28.09,129.41,21.81,387.74
